@RELATION svmforemotions
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE class {Happy,Boredom,Disgust,Fear,Neutral,Sad,Anger}

@DATA
0.006717,2.706925,-28.312035,1.804061,0.053562,0.011281,-0.275576,0.162752,0.005490,-0.091070,-0.030964,0.014455,-0.093741,0.026693,-0.125692,0.011779,0.652619,4.022503,1.276038,0.919390,0.567433,0.419196,0.444223,0.362314,0.306185,0.414464,0.296706,0.357595,0.244012,0.236754,Happy
0.015556,2.686107,-27.873008,1.689536,0.014945,0.068043,-0.347133,-0.128548,-0.249155,-0.190327,-0.277908,-0.032635,-0.139716,0.032195,-0.123688,0.024658,0.644351,3.973209,0.884188,1.092491,0.550679,0.383228,0.382002,0.445829,0.382302,0.393633,0.287190,0.428073,0.425921,0.418483,Happy
0.012682,2.535685,-28.576188,1.523989,-0.139831,0.070963,-0.107843,0.122274,-0.050561,-0.094156,-0.067485,0.028776,-0.174196,-0.072187,-0.142728,0.020202,0.563302,4.504520,1.316531,1.197267,0.573715,0.496850,0.379429,0.346329,0.370835,0.315564,0.274830,0.330135,0.319138,0.246397,Happy
0.011119,2.659988,-28.599027,1.477172,0.321147,-0.175433,-0.343906,0.188098,-0.000904,-0.021805,0.032777,0.010735,-0.181969,-0.000391,-0.167113,0.015352,0.457582,3.342338,1.307629,0.807058,0.544704,0.446635,0.297840,0.287222,0.297988,0.264642,0.260913,0.262439,0.204583,0.304731,Happy
0.013762,2.965824,-28.652421,1.875880,0.404202,0.295363,-0.189627,-0.265441,-0.000471,0.123442,-0.194780,0.066468,-0.077213,0.102201,-0.076967,0.012979,0.326374,2.468134,0.885810,0.658690,0.386302,0.449291,0.267313,0.240934,0.291937,0.273706,0.300116,0.273754,0.232989,0.252889,Happy
0.015325,2.890726,-26.372327,1.662802,0.243286,-0.172105,-0.300317,-0.191433,-0.217805,-0.163430,-0.309519,-0.209928,-0.291222,0.040137,-0.102308,0.015150,0.561950,2.859266,1.325530,0.688491,0.546758,0.373445,0.448720,0.368407,0.400059,0.368651,0.384180,0.488875,0.415075,0.381171,Happy
0.029116,2.660094,-26.561445,1.960061,0.631967,-0.264915,-0.319264,-0.061444,-0.203707,0.031344,-0.140076,-0.089962,-0.253526,-0.156487,-0.369123,0.033401,0.653031,3.314829,1.089446,0.745744,0.460135,0.508873,0.326685,0.466980,0.285570,0.313281,0.328613,0.322536,0.269336,0.303791,Happy
0.032443,2.831519,-28.147634,1.885267,0.304705,0.192602,0.070676,0.167384,0.097898,0.057873,-0.144158,-0.117040,-0.094239,0.106890,0.070899,0.034572,0.453866,3.893841,1.205452,0.704406,0.652714,0.381722,0.300845,0.249066,0.314763,0.293193,0.376568,0.272508,0.222781,0.249108,Happy
0.019598,2.854617,-28.085503,2.354788,0.321522,-0.076376,-0.160887,-0.030945,-0.055433,-0.054056,-0.250513,-0.244848,-0.302449,-0.145819,-0.184302,0.022961,0.420631,3.506024,0.759132,1.102233,0.531539,0.433151,0.375065,0.344741,0.341596,0.254634,0.286815,0.283702,0.274877,0.309608,Happy
0.011246,2.975541,-28.176925,1.982113,-0.034206,0.143769,-0.184439,0.102808,-0.107523,-0.144777,-0.233641,-0.326195,-0.368479,-0.080019,-0.215863,0.017743,0.350973,4.722134,1.166973,0.988672,0.514164,0.468713,0.366253,0.242009,0.285306,0.332131,0.364990,0.389478,0.375289,0.376260,Happy
0.016026,2.760565,-29.115610,1.634494,-0.044509,-0.159764,-0.399938,-0.015517,-0.152068,-0.203434,-0.198393,-0.109907,0.007788,0.141531,-0.021638,0.019003,0.408736,2.545937,0.891707,0.805582,0.390684,0.372042,0.345776,0.322051,0.295131,0.317319,0.283783,0.305479,0.360153,0.296345,Happy
0.022727,2.839108,-27.518344,1.997995,-0.018452,-0.335699,-0.415380,-0.149697,-0.049711,-0.313447,-0.064498,-0.157016,-0.126579,0.021770,-0.137000,0.032356,0.562296,4.629956,1.319920,0.833809,0.503529,0.452852,0.407782,0.391335,0.394342,0.444698,0.419957,0.341877,0.351415,0.348153,Happy
0.023375,2.804654,-27.609565,2.141442,0.714813,-0.231149,-0.369227,0.097901,-0.097197,-0.044870,-0.225711,-0.218442,-0.176973,-0.079442,-0.212389,0.021219,0.496307,3.881855,1.172437,0.700764,0.630071,0.505007,0.363399,0.414287,0.277015,0.400154,0.354737,0.320124,0.353248,0.338764,Happy
0.018610,2.756914,-27.478625,1.437466,0.453842,-0.634235,-0.454196,-0.072491,-0.217068,-0.152334,-0.149495,-0.065868,0.066992,0.188519,-0.045963,0.022366,0.652692,2.918455,1.590981,0.602298,0.492120,0.488006,0.349238,0.454938,0.480760,0.333736,0.305123,0.261225,0.400142,0.246153,Happy
0.017283,2.632128,-27.456470,1.564635,-0.409222,-0.283051,-0.423788,-0.402769,-0.092488,0.024133,0.165115,0.012695,-0.014427,-0.059492,-0.155634,0.022557,0.596470,3.369790,1.056598,0.886337,0.718531,0.530200,0.594663,0.478494,0.493899,0.516224,0.473152,0.376515,0.384279,0.238247,Happy
0.005876,2.888036,-29.360450,1.902717,-0.156387,0.000627,-0.180682,-0.135672,-0.047682,-0.138931,-0.104476,-0.084490,-0.106471,-0.026638,-0.188338,0.009051,0.460389,3.676521,1.211888,0.895000,0.483137,0.463559,0.409915,0.326472,0.365176,0.415560,0.419418,0.326172,0.320457,0.320253,Happy
0.010876,2.841337,-28.080889,1.958448,0.143929,-0.200808,-0.421197,-0.144692,-0.286271,-0.248791,-0.258611,-0.059468,-0.050296,0.179413,-0.034066,0.011957,0.588343,3.751616,0.958696,0.830320,0.582146,0.474899,0.410417,0.432003,0.435322,0.445974,0.468368,0.455441,0.397633,0.277107,Happy
0.020278,2.898399,-27.546505,2.107735,0.184920,-0.326166,-0.278148,-0.064599,-0.138489,-0.026296,-0.221864,-0.049263,-0.093723,0.059749,-0.141042,0.020978,0.315184,3.351578,0.955782,0.854555,0.606256,0.359517,0.453549,0.446847,0.380109,0.389708,0.365502,0.332258,0.363042,0.340831,Happy
0.012608,2.789028,-28.227932,-0.303899,-0.429384,-0.367883,-0.515738,-0.198442,-0.302945,-0.049325,0.069137,0.109883,0.024638,-0.044340,0.058688,0.020545,0.580416,3.679096,1.582731,0.916588,0.787865,0.482562,0.505997,0.411790,0.475832,0.561580,0.530496,0.497173,0.443537,0.382670,Happy
0.007837,2.896201,-29.284151,0.978730,-0.311574,0.265713,-0.365718,-0.396861,-0.460568,-0.369180,-0.011336,0.122503,0.230887,-0.105932,-0.010584,0.012930,0.466513,4.390888,1.845879,0.755794,0.553634,0.358596,0.308657,0.338588,0.462212,0.472581,0.416262,0.494616,0.446123,0.261570,Happy
0.007203,2.840313,-30.457577,0.674835,-0.293465,-0.018054,-0.466265,-0.099039,-0.128814,-0.193336,0.194907,0.121128,0.228025,-0.133923,0.101503,0.012766,0.333477,2.861328,1.182530,0.606979,0.526058,0.434827,0.363868,0.412124,0.411877,0.507244,0.360105,0.341731,0.360800,0.220088,Happy
0.011995,2.894085,-27.393351,1.265037,-0.187686,0.113396,-0.467020,-0.082873,-0.212628,-0.478683,-0.412219,-0.238015,0.124352,0.115080,0.231910,0.016554,0.419386,2.937838,1.125813,0.787862,0.608063,0.444938,0.372566,0.341110,0.359826,0.529970,0.448569,0.430378,0.393508,0.310583,Happy
0.010742,2.639926,-28.232176,1.781816,0.174481,-0.055435,-0.445118,-0.075206,0.121954,-0.224243,-0.182794,-0.311322,-0.143350,0.010625,-0.045876,0.018019,0.492299,4.499987,0.865285,1.061520,0.523435,0.527822,0.369557,0.381691,0.368503,0.342879,0.400192,0.372479,0.301741,0.250282,Happy
0.016040,2.807736,-27.056633,1.988319,-0.099545,-0.035096,-0.521118,-0.015267,0.250826,-0.244572,-0.072771,-0.295515,-0.304434,-0.273657,-0.375579,0.020973,0.440754,3.889642,0.849051,1.130721,0.396210,0.534562,0.342750,0.343571,0.298593,0.370987,0.294201,0.388854,0.318022,0.410946,Happy
0.018668,2.751544,-26.763309,1.883318,0.782081,-0.064516,-0.564448,-0.104943,0.103744,-0.020495,0.136013,0.034456,0.022465,0.074181,-0.197003,0.026003,0.482891,3.224335,1.327638,0.541783,0.496543,0.501117,0.286421,0.367493,0.305533,0.272356,0.262456,0.317926,0.230667,0.256521,Happy
0.012098,2.908239,-28.073083,2.087320,0.446348,0.064051,-0.419611,-0.296105,0.085461,0.149150,-0.051953,0.169577,-0.132510,0.024012,-0.239252,0.014843,0.234165,3.636580,0.859197,0.823061,0.450199,0.384280,0.232470,0.342373,0.395938,0.315562,0.298620,0.331370,0.298775,0.303529,Happy
0.011121,2.713074,-27.978415,1.704403,-0.117338,0.068713,-0.093139,-0.032866,-0.075931,-0.097596,-0.169339,-0.090430,-0.332068,-0.033727,0.001933,0.015568,0.562280,4.219781,0.937691,1.193472,0.556741,0.369606,0.460714,0.344321,0.245453,0.384444,0.346839,0.452175,0.347943,0.333228,Happy
0.009557,2.732527,-28.923065,1.594807,-0.063799,0.059473,-0.295276,0.181959,-0.044729,-0.009207,-0.081952,0.034268,-0.195921,0.044091,-0.051546,0.018575,0.521312,4.748014,1.066155,1.119321,0.441798,0.615115,0.356239,0.262463,0.270778,0.248570,0.271802,0.331478,0.198109,0.296330,Happy
0.010114,2.584469,-28.461686,1.493889,0.147080,-0.144023,-0.139244,0.018288,-0.181787,0.039249,0.007494,-0.037180,-0.216346,-0.066028,-0.174384,0.011686,0.653713,3.258769,1.392857,0.934038,0.523428,0.560507,0.308204,0.362621,0.343294,0.328753,0.263106,0.266181,0.317672,0.324547,Happy
